gene,mean_AD,mean_Control,log2FC,t_stat,p_value,p_adj
AK021977,10.059448757851921,8.086025211390538,1.9734235464613832,7.661901639819055,1.6769547448806546e-07,2.2158860760166747e-05
LPAR1,10.511087621875163,7.787507125730873,2.72358049614429,8.03912625685851,1.8041285860159822e-07,2.237093045785146e-05
NMRAL1,7.761322715465208,9.74715582353644,-1.9858331080712324,-7.634742375680068,1.7854826564159966e-07,2.237093045785146e-05
ASMTL,8.780797943914099,10.575859546402624,-1.7950616024885253,-8.142568241930732,1.7913950887694784e-07,2.237093045785146e-05
WAC,12.628028930502627,10.822280076168491,1.8057488543341353,7.910600161198871,1.8199792066741325e-07,2.237093045785146e-05
MRPL41,9.36418538954513,12.357972492870383,-2.9937871033252534,-8.46248882643658,1.7550295646963573e-07,2.237093045785146e-05
VPS16,8.321241363251499,9.952279055573898,-1.6310376923223995,-7.6499789906401015,1.7213115394191368e-07,2.237093045785146e-05
CIRH1A,8.125052323398698,10.239868629948651,-2.114816306549953,-7.630025672103053,1.8446667211620861e-07,2.2413760815407372e-05
ORC5,8.065135997929698,9.702871835449233,-1.6377358375195357,-7.634866540832944,1.9038723879696328e-07,2.2870267060485213e-05
SEC11A,10.389696579101331,9.107278369989354,1.2824182091119773,7.699593267614075,1.9905954378733292e-07,2.3643353228942654e-05
C21orf91,10.338996126014239,6.913606207368863,3.425389918645376,7.580177735153699,2.159551649750459e-07,2.403012683106537e-05
AP2M1,8.00759142160324,10.942538603402552,-2.9349471817993127,-7.913599985745927,2.0504642862144665e-07,2.403012683106537e-05
EDF1,10.297443630921567,12.458733812705844,-2.1612901817842776,-7.547407580722752,2.118561365355726e-07,2.403012683106537e-05
CCDC92,10.400694340658246,12.046979118140026,-1.64628477748178,-8.091113581447775,2.0828170767325443e-07,2.403012683106537e-05
NSUN5,8.164014404781845,9.451278218488529,-1.2872638137066836,-7.52846965942229,2.1592922310921123e-07,2.403012683106537e-05
ALDOA,10.37757032236421,13.183806953017065,-2.8062366306528546,-7.9235091302558995,2.1101755586893737e-07,2.403012683106537e-05
HIST1H2AC,8.343637622830624,6.657335061659423,1.6863025611712006,7.535156286197017,2.2856577208275396e-07,2.5168424757154085e-05
SPP1,11.30238993538312,8.393867210986212,2.9085227243969083,7.61857468283632,2.357567942699292e-07,2.5692629610591975e-05
SPTBN1,11.76819070807043,10.671828834375846,1.0963618736945833,8.06265469319786,2.4761384556160206e-07,2.643965617607773e-05
TMX2,7.865196414923657,9.4661388066235,-1.6009423916998422,-7.5697120017287585,2.4739167792712684e-07,2.643965617607773e-05
FAM213B,7.951089165828442,10.93748240524212,-2.986393239413678,-8.246213571709486,2.520580386170587e-07,2.6645055262209275e-05
NPDC1,7.582421975596425,9.64779326696905,-2.0653712913726245,-7.649180891567177,2.596541429722312e-07,2.6933725253339444e-05
CORO2B,8.387111150737022,10.299161882478284,-1.912050731741262,-7.46107924549684,2.643449600651239e-07,2.6933725253339444e-05
KIF5B,11.835248486088348,9.716746567007506,2.118501919080842,7.872784722050036,2.649803638584147e-07,2.6933725253339444e-05
NDUFS7,7.498928690926055,9.635070032811353,-2.1361413418852973,-8.013167888573562,2.6323826692189846e-07,2.6933725253339444e-05
PHACTR4,8.89683991555329,7.0007879785374705,1.8960519370158195,7.413608646315552,2.747956149369144e-07,2.7665375671410684e-05
EPC1,11.112342795775458,9.031512181975186,2.0808306138002717,7.5100166129962505,2.782102063760837e-07,2.7744906524543217e-05
CUTA,10.438594484695505,11.996747662747548,-1.5581531780520432,-7.769532245439702,2.9659956718302853e-07,2.9302374062540134e-05
CEP290,8.011485179403078,9.219367966741661,-1.2078827873385833,-8.225590934970949,3.021716363199312e-07,2.9360112927552583e-05
ATP9B,8.540889554308382,10.28255502095078,-1.741665466642397,-7.555445387583097,3.036287535309606e-07,2.9360112927552583e-05
